config,profit_target_pct,stop_rule,stop_credit_multiple,time_stop_dte,trades,win_rate,total_pnl,expectancy,profit_factor,sharpe,max_dd_pct,avg_win,avg_loss,worst_trade,stopped,level_broke,modelled_exits
hold/stop3x,,credit_multiple,3.0,,184,0.8152173913043478,64102.665631369186,348.38405234439773,1.4092450543323887,0.5879454447363812,-0.2720053844381514,1471.5936666666669,-4606.952481430319,-13076.000000000004,17,0,0.08695652173913049
hold/stop3x+TS5,,credit_multiple,3.0,5.0,203,0.7733990147783252,87231.61281047756,429.71237837673675,1.6766336097578782,0.7579289123890194,-0.19138051958559688,1376.7619388406201,-2802.608947554345,-9917.658710466934,14,0,0.9852216748768473
hold/stop3x+TS3,,credit_multiple,3.0,3.0,197,0.8071065989847716,113054.93164219393,573.882901737025,1.8712537822548059,0.895472826473712,-0.19124296162241444,1527.1454484758813,-3414.768280670295,-11955.311825767534,15,0,0.9543147208121827
hold/stopLVL,,level_break,2.0,,220,0.5045454545454545,-16574.14378925407,-75.33701722388214,0.8318834142078667,-0.10727204183581233,-0.3213215144838713,738.8563795382654,-904.4697423669866,-4655.290571036811,0,153,0.5
hold/stopLVL+TS5,,level_break,2.0,5.0,230,0.4956521739130435,-18872.13411630013,-82.05275702739188,0.8127160342766493,-0.1427839868341488,-0.34777614334283696,718.3802666723379,-868.6852113529882,-4655.290571036811,0,152,0.8
hold/stopLVL+TS3,,level_break,2.0,3.0,226,0.4911504424778761,-19571.355041101207,-86.5989161110673,0.8015500463297911,-0.15230219609736773,-0.3437255431479912,712.1599695972687,-857.5748840556348,-4073.3792496572105,0,156,0.7920353982300885
PT25/nostop,0.25,none,2.0,,236,0.9364406779661016,31307.785926718152,132.66010985897523,1.282576036712375,0.39269321715904404,-0.20631106022251058,642.9954114331135,-7386.279999999994,-10460.800000000003,0,0,0.8305084745762712
PT25/nostop+TS5,0.25,none,2.0,5.0,242,0.871900826446281,63097.86605938356,260.734983716461,1.774812208376298,0.6479718240331573,-0.1662241587806653,684.9962104685011,-2626.9785274022634,-10574.338186882216,0,0,0.9132231404958677
PT25/nostop+TS3,0.25,none,2.0,3.0,239,0.899581589958159,71389.40896491191,298.70045592013355,1.8791014498232195,0.705143695725864,-0.1501200194844507,709.7518902779165,-3383.6353102016724,-10926.972096057814,0,0,0.9121338912133892
PT25/stop1.5x,0.25,credit_multiple,1.5,,248,0.8467741935483871,15840.979851736985,63.874918757003975,1.126830932330557,0.2677183686170376,-0.27917438326976746,670.1874980661336,-3286.7998616355553,-8268.107345032457,37,0,0.8790322580645161
PT25/stop1.5x+TS5,0.25,credit_multiple,1.5,5.0,249,0.8192771084337349,11035.463717050994,44.319131393779095,1.0986840430076497,0.2168396554680472,-0.2999176923874285,602.2631660654937,-2485.027159117994,-6049.198017403672,33,0,0.8835341365461847
PT25/stop1.5x+TS3,0.25,credit_multiple,1.5,3.0,248,0.8387096774193549,23784.95357097478,95.90707085070476,1.2116178769238979,0.3554636985138462,-0.2921294003959582,654.7150023634342,-2809.8941730154884,-6884.994236157203,34,0,0.8830645161290323
PT25/stop2x,0.25,credit_multiple,2.0,,241,0.9004149377593361,40864.932705238396,169.56403612132115,1.3435734157875452,0.4847800416048129,-0.23359253388062354,736.4324277643466,-4955.871004984368,-11768.400000000005,20,0,0.8755186721991701
PT25/stop2x+TS5,0.25,credit_multiple,2.0,5.0,246,0.8455284552845529,26471.709990700627,107.60857719797002,1.2519242178616237,0.36887950926418656,-0.25042690330245737,632.4508537281606,-2765.2123048620197,-9104.693870401416,17,0,0.9065040650406504
PT25/stop2x+TS3,0.25,credit_multiple,2.0,3.0,243,0.8724279835390947,47399.25413162674,195.0586589778878,1.4738394880825882,0.5615887141425131,-0.2179440223205443,695.4318621765605,-3226.848408058196,-9871.872951532981,18,0,0.9053497942386831
PT25/stop2.5x,0.25,credit_multiple,2.5,,239,0.9121338912133892,47305.142917082245,197.92946827231066,1.4047059966681603,0.55495441443802,-0.22887058111133307,753.1780627968587,-5566.079751077761,-11768.400000000005,16,0,0.8744769874476988
PT25/stop2.5x+TS5,0.25,credit_multiple,2.5,5.0,244,0.8565573770491803,46470.08204858795,190.45115593683587,1.499994902126907,0.5577699765141391,-0.17883616051393134,667.0392045442541,-2655.460334318889,-9613.03471534747,12,0,0.9098360655737705
PT25/stop2.5x+TS3,0.25,credit_multiple,2.5,3.0,242,0.8842975206611571,65021.41768053814,268.68354413445513,1.7211335913296737,0.70233139670284,-0.16626467931714567,725.1728161204657,-3220.1987489014823,-10926.972096057814,13,0,0.9090909090909091
PT25/stop3x,0.25,credit_multiple,3.0,,238,0.9201680672268907,47494.7389407623,199.55772664185838,1.4125710548363692,0.5566457927618865,-0.21749731600875505,742.5281748664327,-6058.891123946653,-11768.400000000005,14,0,0.8697478991596639
PT25/stop3x+TS5,0.25,credit_multiple,3.0,5.0,243,0.8600823045267489,46185.52188230309,190.06387605886044,1.5070203820013872,0.558239480088269,-0.18167071330406642,656.8304487274461,-2679.177702992151,-9613.03471534747,10,0,0.9094650205761317
PT25/stop3x+TS3,0.25,credit_multiple,3.0,3.0,240,0.8875,64811.123615116914,270.04634839632047,1.742271080225556,0.7064099058504073,-0.15931748986872735,714.2054089843837,-3233.8751295761786,-10926.972096057814,11,0,0.9083333333333333
PT25/stopLVL,0.25,level_break,2.0,,253,0.6047430830039525,-21558.647122129754,-85.21204396098717,0.7620149332442472,-0.1866219732034772,-0.32565679927958335,451.17377611083765,-905.8823486708789,-4655.290571036811,0,120,0.7351778656126482
PT25/stopLVL+TS5,0.25,level_break,2.0,5.0,253,0.6047430830039525,-21558.647122129754,-85.21204396098717,0.7620149332442472,-0.1866219732034772,-0.32565679927958335,451.17377611083765,-905.8823486708789,-4655.290571036811,0,120,0.7351778656126482
PT25/stopLVL+TS3,0.25,level_break,2.0,3.0,253,0.6047430830039525,-21558.647122129754,-85.21204396098717,0.7620149332442472,-0.1866219732034772,-0.32565679927958335,451.17377611083765,-905.8823486708789,-4655.290571036811,0,120,0.7351778656126482
PT50/nostop,0.5,none,2.0,,214,0.9158878504672897,50356.35873675976,235.31008755495213,1.4025359257857435,0.49317039926942957,-0.2370189521292681,895.1742792691821,-6949.877777777774,-11768.400000000005,0,0,0.8271028037383178
PT50/nostop+TS5,0.5,none,2.0,5.0,222,0.8018018018018018,57395.55452984409,258.5385339182166,1.481133672756602,0.5944226724789436,-0.1792136749935556,992.6285375126162,-2711.189207895491,-10288.16205902839,0,0,0.9594594594594594
PT50/nostop+TS3,0.5,none,2.0,3.0,219,0.8356164383561644,71310.58454527562,325.6191075126741,1.5929482815745992,0.7034197834966649,-0.17497833930360857,1046.857979407775,-3340.6784912874223,-11832.510051862124,0,0,0.9589041095890412
PT50/stop1.5x,0.5,credit_multiple,1.5,,226,0.8185840707964602,32792.310229979805,145.09871783176905,1.2032520074251958,0.4235990338075222,-0.22255253238007974,1049.354035035619,-3935.0777134538957,-10306.2,37,0,0.915929203539823
PT50/stop1.5x+TS5,0.5,credit_multiple,1.5,5.0,231,0.7619047619047619,31331.328678681617,135.6334574834702,1.2247050147407976,0.4182843698424615,-0.294350372064211,970.252736266056,-2535.148234620804,-7934.126968373547,34,0,0.9393939393939394
PT50/stop1.5x+TS3,0.5,credit_multiple,1.5,3.0,228,0.7894736842105263,52984.926765864606,232.39002967484475,1.3715600324472972,0.6256907765600698,-0.2708729037871222,1086.589896172953,-2970.859469693061,-8925.892839420243,35,0,0.9385964912280702
PT50/stop2x,0.5,credit_multiple,2.0,,223,0.8654708520179372,55995.91601224791,251.10276238676192,1.3569544681430339,0.59825149499406,-0.20757804765246043,1102.9390091696055,-5229.043758582865,-13076.000000000004,23,0,0.905829596412556
PT50/stop2x+TS5,0.5,credit_multiple,2.0,5.0,229,0.777292576419214,41880.624795873526,182.88482443612892,1.3038115488077449,0.5093665241093663,-0.26119313875903993,1009.7263611853518,-2702.9542646101777,-10242.780604201595,20,0,0.9563318777292577
PT50/stop2x+TS3,0.5,credit_multiple,2.0,3.0,225,0.8133333333333334,66122.34602184112,293.87709343040495,1.486392804286299,0.7322917729862771,-0.21228553545731035,1104.1895103467218,-3236.7698659906882,-11380.86733800177,22,0,0.9555555555555556
